Location
"Select office" 
"0001 - Syracuse, NY (Lighthouse)"
"0812 - Chicago, IL (Fulton Market)"
"0005 - Farmington, CT"
"0019 - Seekonk, MA"
"0021 - Fall River, MA"
"0030 - Fairfield, CT"
"0033 - Stratford, CT"
"0040 - Weymouth, MA"
"0041 - Norwalk, CT"
"0052 - North Dartmouth, MA"
"0061 - Torrington, CT"
"0103 - Belle Vernon, PA"
"0140 - South Bend, IN"
"0151 - Waterville, ME"
"0160 - Bangor, ME"
"0164 - Goshen, IN"
"0167 - New Philadelphia, OH"
"0169 - Indianapolis, IN (University)"
"0171 - Greenwood, IN (Meridian)"
"0178 - Michigan City, IN"
"0183 - Indianapolis, IN (Southport Rd)"
"0186 - Peoria, AZ"
"0192 - Augusta, ME"
"0312 - Buffalo, NY"
"0315 - Niagara Falls, NY"
"0318 - Bristol, CT"
"0320 - Warwick, RI"
"0334 - Saugus, MA"
"0335 - Natick, MA"
"0338 - Quincy, MA"
"0342 - Woburn, MA"
"0343 - Manchester, NH"
"0344 - Amherst, NH"
"0345 - Auburn, MA"
"0347 - Leominster, MA"
"0348 - West Springfield, MA"
"0349 - Raynham, MA"
"0350 - Methuen, MA"
"0351 - East Longmeadow, MA"
"0355 - Chelmsford, MA"
"0357 - Waterford, CT"
"0359 - Horseheads, NY"
"0360 - North Smithfield, RI"
"0362 - Allentown, PA (Cedar)"
"0363 - Wyomissing, PA (Reading)"
"0364 - Portsmouth, NH"
"0366 - Concord, NH"
"0369 - Easton, PA"
"0376 - Johnstown, PA"
"0379 - Harrisburg, PA"
"0400 - Keene, NH"
"0402 - Springfield, MA"
"0409 - Portland, ME"
"0412 - Pittsburgh, PA (North Hills)"
"0413 - Anderson, IN"
"0414 - Marion, IN"
"0415 - Kokomo, IN"
"0416 - Pittsburgh, PA (Robinson)"
"0420 - Biddeford, ME"
"0421 - Glendale, AZ"
"0423 - Worcester, MA (Lincoln)"
"0425 - Terre Haute, IN"
"0428 - Valparaiso, IN"
"0429 - Fairlawn, OH"
"0433 - Greensburg, PA"
"0436 - Waterbury, CT (Reidville)"
"0437 - West Lebanon, NH"
"0439 - Mechanicsburg, PA"
"0442 - Bedford, NH"
"0444 - Topsham, ME"
"0445 - Ontario, OH (Mansfield)"
"0447 - Fort Wayne, IN"
"0449 - Evansville, IN"
"0452 - Manchester, CT"
"0453 - Ithaca, NY"
"0454 - Grandville, MI"
"0455 - Bloomington, IN"
"0456 - Uniontown, PA"
"0457 - Holland, OH"
"0458 - Butler, PA"
"0459 - Okemos, MI"
"0463 - Grand Rapids, MI"
"0465 - Mt Pleasant, MI"
"0468 - Evansville, IN (South Red Bank)"
"0470 - Grand Rapids, MI (Walker)"
"0472 - Saginaw, MI"
"0474 - Toledo, OH"
"0475 - Rochester, NH"
"0476 - Waterloo, IA"
"0477 - Dubuque, IA"
"0479 - Cedar Rapids, IA"
"0480 - Mesa, AZ (Superstition)"
"0481 - Columbus, IN"
"0484 - Holland, MI"
"0485 - Ankeny, IA"
"0487 - Flint, MI (Miller)"
"0488 - Bay City, MI"
"0489 - Fort Wayne, IN (Orchard)"
"0491 - Canton, OH"
"0493 - Des Moines, IA (SE 14th St)"
"1009 - Plainfield, IN"
"1016 - Brooksville, FL"
"1019 - West Burlington, IA"
"1029 - Keizer, OR"
